GSM605296,"
H2BK12ac
      ","
Abcam
      ","
ab40883
      ","
727056
      "
GSM605297,"
H2BK12ac
      ","
Abcam
      ","
ab40883
      ","
727056
      "
GSM605298,"
H2BK15ac
      ","
Abcam
      ","
ab62335
      ","
727058
      "
GSM605299,"
H2BK15ac
      ","
Abcam
      ","
ab62335
      ","
727058
      "
GSM605300,"
H2BK20ac
      ","
Upstate
      ","
upstate 07-347
      ","
22355
      "
GSM605301,"
H2BK20ac
      ","
Upstate
      ","
upstate 07-347
      ","
22355
      "
GSM605302,"
H2BK5ac
      ","
Abcam
      ","
ab40886
      ","
529107
      "
GSM605303,"
H2BK5ac
      ","
Active Motif
      ","
AM39123
      ","
229
      "
GSM605304,"
H3K18ac
      ","
Abcam
      ","
ab1191
      ","
122116
      "
GSM605305,"
H3K23me2
      ","
Abcam
      ","
ab2370
      ","
13694
      "
GSM605306,"
H3K23me2
      ","
Abcam
      ","
ab2370
      ","
13694
      "
GSM605307,"
H3K27ac
      ","
Active Motif
      ","
AM39133
      ","
19208002
      "
GSM605308,"
H3K27me3
      ","
Millipore
      ","
07-449
      ","
DAM1514011
      "
GSM605309,"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
707948
      "
GSM605310,"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
707946
      "
GSM605311,"
H3K4ac
      ","
Upstate
      ","
Upstate 07-539
      ","
26747
      "
GSM605312,"
H3K4me1
      ","
Abcam
      ","
ab8895
      ","
720417
      "
GSM605314,"
H3K4me2
      ","
Abcam
      ","
ab32356
      ","
727055
      "
GSM605315,"
H3K4me3
      ","
Millipore
      ","
Millipore 04-745
      ","
DAM 1554357
      "
GSM605316,"
H3K4me3
      ","
Millipore
      ","
04-745
      ","
DAM 1606983
      "
GSM605317,"
H3K56ac
      ","
Upstate
      ","
Upstate 07-677
      ","
DAM1462569
      "
GSM605318,"
H3K79me1
      ","
Abcam
      ","
ab2886
      ","
502497
      "
GSM605319,"
H3K79me1
      ","
Abcam
      ","
ab2886
      ","
502497
      "
GSM605320,"
H3K79me1
      ","
Abcam
      ","
ab2886
      ","
502497
      "
GSM605321,"
H3K79me2
      ","
Abcam
      ","
ab3594
      ","
573640
      "
GSM605322,"
H3K79me2
      ","
Abcam
      ","
ab3594
      ","
573640
      "
GSM605323,"
H3K9ac
      ","
Active Motif
      ","
AM39137
      ","
1008001
      "
GSM605324,"
H3K9ac
      ","
Active Motif
      ","
AM39137
      ","
1008001
      "
GSM605325,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
484099
      "
GSM605327,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
484099
      "
GSM605328,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
484099
      "
GSM605329,"
H4K20me1
      ","
Abcam
      ","
ab9051
      ","
519198
      "
GSM605330,"
H4K5ac
      ","
Upstate
      ","
07-327
      ","
30417
      "
GSM605332,"
H4K91ac
      ","
Abcam
      ","
ab4627
      ","
82963
      "
GSM616127,"
H3K4me2
      ","
Abcam
      ","
ab32356
      ","
727055
      "
GSM616128,"
H3K4me3
      ","
Millipore
      ","
04-745
      ","
NG1643014
      "
GSM616129,"
H3K9ac
      ","
Active Motif
      ","
39137
      ","
1008001
      "
GSM663427,"
H3K27ac
      ","
Active Motif
      ","
AM 39133
      ","
19208002
      "
GSM665037,"
H3K27ac
      ","
Active Motif
      ","
AM39133
      ","
19208002
      "
