biosample_property_no	biosample_no	property_name	property_value	is_current	date_created	created_by
b2e06048-6f7b-4489-959a-e3096a4d68ef	Chorion	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ed05d4e0-1e4d-4acb-a237-75d7fa644033	BC_Stomach_H12817N	orderUrl	http://www.biochain.com;http://www.biochain.com	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ca7b50b3-73da-474f-b8ed-46a1a9fed9b4	BC_Stomach_H12817N	sex	M	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
382652ce-2f58-42ec-a803-46a665f0194a	BC_Stomach_H12817N	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
315b0a11-672e-450c-abeb-2e2845345067	BC_Stomach_H12817N	karyotype	normal	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
90cdf116-e596-4095-ad81-9870fc9d94ae	BC_Stomach_H12817N	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e1aeb95f-756a-4221-86fb-2f3182ae115c	hMSC-UC_0052501.7	orderUrl	http://www.promocell.com/nc/products/human-stem-and-blood-cells/mesenchymal-stem-cells/human-mesenchymal-stem-cells-from-umbilical-cord-matrix-hmsc-uc/?sword_list%5B%5D=hMSC-UC	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
87577e3a-52c7-4fd2-8748-47c5a3097898	hMSC-UC_0052501.7	sex	M	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
7b3aa0a0-258a-4e67-9d8a-1d5e8b2d5208	hMSC-UC_0052501.7	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
085913f8-c58f-4ee6-82f4-70b3672f21be	hMSC-UC_0052501.7	karyotype	normal	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
076cda23-c027-446b-8ff6-66cc7c2cfaaf	hMSC-UC_0052501.7	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
3880a602-e6c2-4f15-bbc1-701d213cf356	ES-EM5Sox17huCD25	orderUrl	http://gilbertlab.bio.fsu.edu/	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
3eb2f379-ca71-45e6-8de1-bd1f20bcffef	ES-EM5Sox17huCD25	sex	U	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
97d1b9f6-97e3-48e7-ae1b-835e4111ae0e	ES-EM5Sox17huCD25	age	E0	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
aa268535-d448-411b-8c71-03a241015924	ES-EM5Sox17huCD25	karyotype	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
83dcbe32-649d-4990-9222-c78ffe33875a	ES-EM5Sox17huCD25	tier	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
66f08259-e3d9-4107-84f3-9021985014c1	ProgFib	orderUrl	http://www.progeriaresearch.org/	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ae6d6925-e496-4626-b9a7-09a4c7eab58c	ProgFib	sex	M	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
dc16b1a0-b62c-4820-8448-275985c10261	ProgFib	age	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
013798db-6c76-4fc2-969e-08ea1af2ef08	ProgFib	karyotype	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
28b55147-7ac2-4d69-94e5-efc76ad13ede	ProgFib	tier	3	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d50539f9-6f45-4f8c-9ad1-8a30edd02911	EPC_(CD117-_CD71-_TER119+)	orderUrl	http://www.gs.washington.edu/faculty/stamj.htm	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
3391d07b-b90d-4ea9-94f2-2af65b306526	EPC_(CD117-_CD71-_TER119+)	sex	U	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
49622a06-c1ce-4fc9-a784-72e69fdac7b0	EPC_(CD117-_CD71-_TER119+)	age	ageUnknown	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ee95c16c-7bf8-4c4e-ae7e-a709aa77aa03	EPC_(CD117-_CD71-_TER119+)	karyotype	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d0b799ca-ca36-4f7e-ad27-a2c5934a14c1	EPC_(CD117-_CD71-_TER119+)	tier	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
2e2710bc-c325-4c47-be13-4d593c9e9955	Stellate	orderUrl	http://www.dukehealth.org/physicians/steve_s_choi	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
