biosample_term_id	biosample_term_name	biosample_label	biosample_type	organism_no	treatment_no	source_no	product_id	lot_id	subcellular_location
AMAD:15212	FVLstem	FVLS	primaryCells	mouse	missing	Paulson Lab	FVLstem	missing	missing
AMAD:15212	FVprogenitor	FVP	primaryCells	mouse	missing	Paulson Lab	FVprogenitor	missing	missing
AMAD:7108	FatPad	FAT	tissue	mouse	missing	Dr. John Stamatoyannopoulos at UW	FatPad	missing	missing
BTO:0000452	FibroP	FIBROP	missing	human	missing	Paul Tesar at Case Western University	FibroP	missing	missing
BTO:0000452	FibroP_AG08395	FIBROPAG08395	missing	human	missing	Coriell	AG08395	missing	missing
BTO:0000452	FibroP_AG08396	FIBROPAG08396	missing	human	missing	Coriell	AG08396	missing	missing
BTO:0000452	FibroP_AG20443	FIBROPAG20443	missing	human	missing	Coriell	AG20443	missing	missing
BTO:0000452	Fibrobl	FIBROBL	missing	human	missing	Coriell	AG08470	missing	missing
BTO:0001255	Fibrobl_GM03348	FIBROBLGM03348	missing	human	missing	Coriell	GM03348	missing	missing
AMAD:6948	Fibroblast	FIBROBLAST	tissue	mouse	missing	Dr. John Stamatoyannopoulos at UW	Fibroblast	missing	missing
AMAD:3883	ForelimbBud	FLBUD	tissue	mouse	missing	Selleri lab, Cornell	ForelimbBud	missing	missing
AMAD:7003	FrontalLobe	FLOBE	tissue	mouse	missing	CSHL lab	Frontal Lobe	missing	missing
BTO:0000484	Frontal_cortex_OC	FRONTALCORTEXOC	missing	human	missing	Kathleen Price Bryan Brain	673; 913	missing	missing
AMAD:7079	G1E	G1E	cellLine	mouse	missing	Mitch Weiss lab	missing	missing	missing
AMAD:7079	G1E-ER4	G1EER4	cellLine	mouse	missing	Mitch Weiss lab	missing	missing	missing
BTO:0003671	GC_B_cell	GCBCELL	missing	human	missing	Dr. Yanwen Jiang	GC_B_cell	missing	missing
BTO:0001253	GM04503	GM04503	missing	human	missing	Coriell	GM04503D	missing	missing
BTO:0001253	GM04504	GM04504	missing	human	missing	Coriell	GM04504A	missing	missing
BTO:0002062	GM08714	GM08714	missing	human	missing	Coriell	GM08714	missing	missing
BTO:0002062	GM10248	GM10248	missing	human	missing	Coriell	GM10248	missing	missing
BTO:0002062	GM10266	GM10266	missing	human	missing	Coriell	GM10266	missing	missing
BTO:0002062	GM12812	GM12812	missing	human	missing	Coriell	GM12812	missing	missing
BTO:0002062	GM12813	GM12813	missing	human	missing	Coriell	GM12813	missing	missing
BTO:0002062	GM12878	GM12878	missing	human	missing	Coriell	GM12878	missing	missing
BTO:0002062	GM12878-XiMat	GM12878Xb	missing	human	missing	Hunt Willard at Duke University	GM12878-XiMat	missing	missing
BTO:0002062	GM13976	GM13976	missing	human	missing	Coriell	GM13976	missing	missing
